Directors,Film ID
George Stevens,c8d03653-289f-422c-a385-fb2097fd2996
Henry King,7b8c91d7-b87f-4871-ad87-dec95f2fd0da
Herman Shumlin,1a4e8a94-150d-484a-8b25-959ab5dfc42e
Leo McCarey,e8c09304-ad53-4c4d-9d08-72b059d37892
Billy Wilder,c08eaccc-190e-4e88-bb31-e2a9ddf6f09c
George Cukor,bd1cbfe3-80d9-4c20-81ee-1fcccdd3b2a4
Billy Wilder,0b7a2648-33c4-4eed-b40d-86b581f69c9c
George Sidney,a9713f3b-472e-4338-bd59-6021b65a9c75
Michael Curtiz,6f3cf796-6ae0-4219-84c8-211dd3ec205d
William Wyler,0d07ce49-6844-4370-b4d7-10d9f02565ba
Frank Capra,d17331c1-4d16-4d92-8718-629629129d7c
Edmund Goulding,3328143b-a27d-4cfc-b6d8-44086e698a9e
Clarence Brown,c7fac549-3837-42a5-b768-9312e6104ee9
Elia Kazan,2de2c926-1509-4aca-bb49-6a2514c7ec7a
Edward Dmytryk,17e1d9b6-6666-4a83-a898-c1a2472f3cf2
George Seaton,ef10f104-3bb4-4576-be62-49bd89ffa349
Laurence Olivier,443109e2-d3c6-4b1d-9bec-3c732801d861
Jean Negulesco,45588422-6266-430e-b2e1-292fbf12e238
Michael Powell,75ddd507-9137-452e-b08c-89cbb2297bd8
 Emeric Pressburger,75ddd507-9137-452e-b08c-89cbb2297bd8
Anatole Litvak,894290ac-2b55-458e-b4b6-c5978fc487c7
John Huston,76320732-9fe8-40c8-9532-bf16a4b45483
Robert Rossen,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
William Wellman,8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
Joseph L. Mankiewicz,2c905a08-03f0-45e6-91e7-a9c9bc17826d
Henry King,1a47efdd-746d-4c28-bd9f-15d2553c73ae
Joseph L. Mankiewicz,95920d24-3ce7-41e7-bf13-35f70fa38da1
George Cukor,7e8fd405-833d-4bba-821c-88f3601017a2
Vincente Minnelli,f83ea7fe-8013-4f13-bda4-4458c4d177e1
Compton Bennett,da749acb-0277-4941-93b2-54dda27d75fb
 Andrew Marton,da749acb-0277-4941-93b2-54dda27d75fb
Billy Wilder,ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
Vincente Minnelli,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
