Authors,Film ID
Dorothy Parker,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Alan Campbell,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Bob Carson,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Ring Lardner Jr.,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Budd Schulberg,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 David O. Selznick,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 William Wellman,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 John Lee Mahin,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Ben Hecht,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Adela Rogers St. John,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 W. Howard Greene,ea80da77-0642-48c5-a2eb-1d03fb856d2f
Norman Reilly Raine,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 Seton I. Miller,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 Michael Curtiz,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 William Keighley,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
Lamar Trotti,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Kathryn Scola,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Irving Berlin,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Richard Sherman,a380741f-f2ba-415d-a5b5-f81f826f93a7
Dore Schary,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
 Eleanore Griffin,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
 John Meehan,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
Ian Dalrymple,84a31ac1-04d7-4810-af0a-b639d529f159
 Frank Wead,84a31ac1-04d7-4810-af0a-b639d529f159
 Elizabeth Hill,84a31ac1-04d7-4810-af0a-b639d529f159
 Emlyn Williams,84a31ac1-04d7-4810-af0a-b639d529f159
Casey Robinson,ae377884-4d60-47f5-893a-1d2577eb6405
 Bertram Bloch,ae377884-4d60-47f5-893a-1d2577eb6405
R.C. Sherriff,72360bec-f930-4772-beac-21bee3e92055
 Eric Maschwitz,72360bec-f930-4772-beac-21bee3e92055
 Claudine West,72360bec-f930-4772-beac-21bee3e92055
 James Hilton,72360bec-f930-4772-beac-21bee3e92055
 Sidney Franklin,72360bec-f930-4772-beac-21bee3e92055
Delmer Daves,c04357fe-39cc-414f-b871-94be98bc38ed
 Donald Ogden Stewart,c04357fe-39cc-414f-b871-94be98bc38ed
 Leo McCarey,c04357fe-39cc-414f-b871-94be98bc38ed
Sidney Buchman,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
Charles Brackett,62d27610-e080-4569-9260-c7883e13adbc
 Billy Wilder,62d27610-e080-4569-9260-c7883e13adbc
 Walter Reisch,62d27610-e080-4569-9260-c7883e13adbc
 Ernst Lubitsch,62d27610-e080-4569-9260-c7883e13adbc
 Melchior Lengyel,62d27610-e080-4569-9260-c7883e13adbc
Eugene Solow,45488a28-fbf5-4264-944a-d0daa7030486
Ben Hecht,48e19755-7fc6-48d3-af96-7024e9f688ef
 Dudley Nichols,48e19755-7fc6-48d3-af96-7024e9f688ef
Florence Ryerson,736cefc8-1a8f-4249-943d-7dce78308ddf
 Noel Langley,736cefc8-1a8f-4249-943d-7dce78308ddf
 Edgar Allan Woolf,736cefc8-1a8f-4249-943d-7dce78308ddf
Ben Hecht,961860de-899b-4c9a-85ba-d5fb0359cbfb
 Charles MacArthur,961860de-899b-4c9a-85ba-d5fb0359cbfb
Casey Robinson,83619bb1-3c1d-4e3b-bf20-98f9dca469f3
Charles Bennett,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
 James Hilton,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
 Joan Harrison,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
 Richard Maibaum,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
 Robert Benchley,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
Nunnally Johnson,1709969c-4b54-4c2b-a3ef-384c9a800499
Charles Chaplin,0abfd0f9-e6e1-4472-8b47-c36c4d34b76e
Dalton Trumbo,31371633-b7be-4548-a770-c594d52adc1b
 Donald Ogden Stewart,31371633-b7be-4548-a770-c594d52adc1b
Howard Koch,a70ff35f-ffc2-4081-8af5-e21d50f21adb
Frank Craven,094d9387-875a-4973-b6e4-fed1231ae253
 Thornton Wilder,094d9387-875a-4973-b6e4-fed1231ae253
 Harry Chandlee,094d9387-875a-4973-b6e4-fed1231ae253
Donald Ogden Stewart,c75809c1-8391-4a67-924b-4a5dfcfdaef0
 Waldo Salt,c75809c1-8391-4a67-924b-4a5dfcfdaef0
Richard Llewellyn,86576fae-02a5-4f78-afe5-908908310def
 Philip Dunne,86576fae-02a5-4f78-afe5-908908310def
Anita Loos,75142b0a-bc65-40aa-82b6-716395a2946d
 Ralph Wheelwright,75142b0a-bc65-40aa-82b6-716395a2946d
Herman J. Mankiewicz,765e5aea-e5af-4695-9be2-f3ef765b8012
 Orson Welles,765e5aea-e5af-4695-9be2-f3ef765b8012
Sidney Buchman,0da3472b-30f2-499d-9418-6af8d76d2028
 Harry Segall,0da3472b-30f2-499d-9418-6af8d76d2028
 Seton I. Miller,0da3472b-30f2-499d-9418-6af8d76d2028
Lillian Hellman,4fd7b78f-8984-4220-a075-b30022fde49f
 Dorothy Parker,4fd7b78f-8984-4220-a075-b30022fde49f
 Arthur Kober,4fd7b78f-8984-4220-a075-b30022fde49f
 Alan Campbell,4fd7b78f-8984-4220-a075-b30022fde49f
John Huston,86d1ae85-1bda-4459-912d-d21a430496b9
Abem Finkel,4c463067-6325-43eb-8f11-e17695722ca9
 Harry Chandlee,4c463067-6325-43eb-8f11-e17695722ca9
 Howard Koch,4c463067-6325-43eb-8f11-e17695722ca9
 John Huston,4c463067-6325-43eb-8f11-e17695722ca9
Joan Harrison,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
 Alma Reville,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
 Alfred Hitchcock,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
 Samson Raphaelson,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
Arthur Wimperis,697603ab-2be4-4a8c-88be-b96bdfe299cf
 James Hilton,697603ab-2be4-4a8c-88be-b96bdfe299cf
 Claudine West,697603ab-2be4-4a8c-88be-b96bdfe299cf
 George Froeschel,697603ab-2be4-4a8c-88be-b96bdfe299cf
Casey Robinson,c19bbf1c-15de-4eba-9ae4-c491063a83fe
Orson Welles,36febb3c-b95a-4830-a4a4-8e2ec057cbd2
Jo Swerling,13aebc37-5ad5-45fc-888f-8acedb312621
 Herman J. Mankiewicz,13aebc37-5ad5-45fc-888f-8acedb312621
 Paul Gallico,13aebc37-5ad5-45fc-888f-8acedb312621
George Froeschel,9a4e6934-a118-4962-9a79-0bf4950f1b65
 Claudine West,9a4e6934-a118-4962-9a79-0bf4950f1b65
 Arthur Wimperis,9a4e6934-a118-4962-9a79-0bf4950f1b65
Irwin Shaw,d960aa81-38e9-466c-8b15-96ba859fcc80
